query graph:0    data graph:0
============================================================
(0, 12) (1, 112) (2, 7) (3, 55) (4, 44) 
(0, 12) (1, 112) (2, 7) (3, 55) (4, 88) 
(0, 12) (1, 112) (2, 7) (3, 55) (4, 186) 
(0, 12) (1, 112) (2, 7) (3, 55) (4, 201) 
(0, 12) (1, 112) (2, 7) (3, 55) (4, 1117) 
(0, 12) (1, 112) (2, 7) (3, 133) (4, 44) 
(0, 12) (1, 112) (2, 7) (3, 133) (4, 88) 
(0, 12) (1, 112) (2, 7) (3, 133) (4, 186) 
(0, 12) (1, 112) (2, 7) (3, 133) (4, 201) 
(0, 12) (1, 112) (2, 7) (3, 133) (4, 1117) 
(0, 12) (1, 112) (2, 7) (3, 410) (4, 44) 
(0, 12) (1, 112) (2, 7) (3, 410) (4, 88) 
(0, 12) (1, 112) (2, 7) (3, 410) (4, 186) 
(0, 12) (1, 112) (2, 7) (3, 410) (4, 201) 
(0, 12) (1, 112) (2, 7) (3, 410) (4, 1117) 
(0, 12) (1, 112) (2, 7) (3, 1093) (4, 44) 
(0, 12) (1, 112) (2, 7) (3, 1093) (4, 88) 
(0, 12) (1, 112) (2, 7) (3, 1093) (4, 186) 
(0, 12) (1, 112) (2, 7) (3, 1093) (4, 201) 
(0, 12) (1, 112) (2, 7) (3, 1093) (4, 1117) 
(0, 25) (1, 949) (2, 7) (3, 36) (4, 62) 
(0, 25) (1, 949) (2, 7) (3, 41) (4, 62) 
(0, 25) (1, 1750) (2, 7) (3, 55) (4, 62) 
(0, 25) (1, 1796) (2, 7) (3, 55) (4, 62) 
(0, 49) (1, 38) (2, 7) (3, 14) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 14) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 41) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 41) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 55) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 55) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 408) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 408) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 913) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 913) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 1093) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 1093) (4, 1117) 
(0, 49) (1, 38) (2, 7) (3, 1194) (4, 44) 
(0, 49) (1, 38) (2, 7) (3, 1194) (4, 1117) 
(0, 49) (1, 42) (2, 7) (3, 14) (4, 44) 
(0, 49) (1, 42) (2, 7) (3, 14) (4, 1117) 
(0, 49) (1, 42) (2, 7) (3, 41) (4, 44) 
(0, 49) (1, 42) (2, 7) (3, 41) (4, 1117) 
(0, 49) (1, 42) (2, 7) (3, 55) (4, 44) 
(0, 49) (1, 42) (2, 7) (3, 55) (4, 1117) 
(0, 49) (1, 42) (2, 7) (3, 1132) (4, 44) 
(0, 49) (1, 42) (2, 7) (3, 1132) (4, 1117) 
